confirmed_id,country,date,confirmed_total
404,Barbados,1/24/20,0
405,Sao Tome and Principe,1/24/20,0
406,Somalia,1/24/20,0
407,Sri Lanka,1/24/20,0
408,Saint Vincent and the Grenadines,1/24/20,0
409,Thailand,1/24/20,5
410,Dominican Republic,1/24/20,0
411,Bhutan,1/24/20,0
412,Serbia,1/24/20,0
413,AUnited Statestralia,1/24/20,0
414,Burma,1/24/20,0
415, Republic of,1/24/20,2
416,Mexico,1/24/20,0
417,Oman,1/24/20,0
418,Pakistan,1/24/20,0
419,Ireland,1/24/20,0
420,South Africa,1/24/20,0
421,Turkey,1/24/20,0
422,RUnited Statessia,1/24/20,0
423,Bahamas,1/24/20,0
424,Malawi,1/24/20,0
425,Netherlands,1/24/20,0
426,Lao People's Democratic Republic,1/24/20,0
427,Belgium,1/24/20,0
428,Uzbekistan,1/24/20,0
429,Panama,1/24/20,0
430,Burkina Faso,1/24/20,0
431,Morocco,1/24/20,0
432,Kosovo,1/24/20,0
433,Libyan Arab Jamahiriya,1/24/20,0
434,Guinea-Bissau,1/24/20,0
435,Philippines,1/24/20,0
436,Maldives,1/24/20,0
437,Brunei,1/24/20,0
438,The former Yugoslav Republic of Macedonia,1/24/20,0
439,Azerbaijan,1/24/20,0
440,West Bank and Gaza,1/24/20,0
441,Luxembourg,1/24/20,0
442,Sweden,1/24/20,0
443,Czech Republic,1/24/20,0
444,Venezuela,1/24/20,0
445,Djibouti,1/24/20,0
446,Montenegro,1/24/20,0
447,Papua New Guinea,1/24/20,0
448,Algeria,1/24/20,0
449,Albania,1/24/20,0
450,Nicaragua,1/24/20,0
451,Kenya,1/24/20,0
452,Botswana,1/24/20,0
453,Grenada,1/24/20,0
454,Bangladesh,1/24/20,0
455,Slovakia,1/24/20,0
456,Georgia,1/24/20,0
457,Central African Republic,1/24/20,0
458,New Zealand,1/24/20,0
459,Benin,1/24/20,0
460,Lesotho,1/24/20,0
461,Gambia,1/24/20,0
462,Guatemala,1/24/20,0
463,Kuwait,1/24/20,0
464,Uganda,1/24/20,0
465,Greece,1/24/20,0
466,Mozambique,1/24/20,0
467,Nigeria,1/24/20,0
468,Fiji,1/24/20,0
469,Mauritania,1/24/20,0
470,Italy,1/24/20,0
471,Diamond Princess,1/24/20,0
472,Eritrea,1/24/20,0
473,Kazakhstan,1/24/20,0
474,Eswatini,1/24/20,0
475,Germany,1/24/20,0
476,Monaco,1/24/20,0
477,Croatia,1/24/20,0
478,France,1/24/20,2
479,Chile,1/24/20,0
480,United Arab Emirates,1/24/20,0
481,Togo,1/24/20,0
482,Syrian Arab Republic,1/24/20,0
483,Antigua and Barbuda,1/24/20,0
484,Denmark,1/24/20,0
485,Seychelles,1/24/20,0
486,Sudan,1/24/20,0
487,AUnited Statestria,1/24/20,0
488,Cape Verde,1/24/20,0
489,Namibia,1/24/20,0
490,South Sudan,1/24/20,0
491,San Marino,1/24/20,0
492,Iceland,1/24/20,0
493,Peru,1/24/20,0
494,Israel,1/24/20,0
495,Egypt,1/24/20,0
496,Spain,1/24/20,0
497,Dominica,1/24/20,0
498,Nepal,1/24/20,0
499,Jordan,1/24/20,0
500,Trinidad and Tobago,1/24/20,0
501,Guyana,1/24/20,0
502,Cameroon,1/24/20,0
503,Cote d'Ivoire,1/24/20,0
504,Liberia,1/24/20,0
505,Lithuania,1/24/20,0
506,Niger,1/24/20,0
507,Uruguay,1/24/20,0
508,Cuba,1/24/20,0
509,Ecuador,1/24/20,0
510,Mali,1/24/20,0
511,Indonesia,1/24/20,0
512,Gabon,1/24/20,0
513,BelarUnited States,1/24/20,0
514,Armenia,1/24/20,0
515,Saint Lucia,1/24/20,0
516,Latvia,1/24/20,0
517,Malta,1/24/20,0
518,Comoros,1/24/20,0
519,Viet Nam,1/24/20,2
520,Ghana,1/24/20,0
521,Paraguay,1/24/20,0
522,MS Zaandam,1/24/20,0
523,Estonia,1/24/20,0
524,Brazil,1/24/20,0
525,El Salvador,1/24/20,0
526,Tajikistan,1/24/20,0
527,Switzerland,1/24/20,0
528,Poland,1/24/20,0
529,India,1/24/20,0
530,Burundi,1/24/20,0
531,Chad,1/24/20,0
532,Ukraine,1/24/20,0
533,Rwanda,1/24/20,0
534,Yemen,1/24/20,0
535,Afghanistan,1/24/20,0
536,Kyrgyzstan,1/24/20,0
537,Tunisia,1/24/20,0
538,Singapore,1/24/20,3
539,Zimbabwe,1/24/20,0
540,Angola,1/24/20,0
541,Guinea,1/24/20,0
542,Sierra Leone,1/24/20,0
543,United Kingdom,1/24/20,0
544,Canada,1/24/20,0
545,China,1/24/20,920
546,Timor-Leste,1/24/20,0
547,Lebanon,1/24/20,0
548,United Republic of Tanzania,1/24/20,0
549,Iraq,1/24/20,0
550,CyprUnited States,1/24/20,0
551,Holy See (Vatican City),1/24/20,0
552,Saint Kitts and Nevis,1/24/20,0
553,Western Sahara,1/24/20,0
554,Norway,1/24/20,0
555,Bulgaria,1/24/20,0
556,Qatar,1/24/20,0
557,Suriname,1/24/20,0
558,Portugal,1/24/20,0
559,Liechtenstein,1/24/20,0
560,Finland,1/24/20,0
561,Slovenia,1/25/20,0
562,United States,1/25/20,2
563,Ethiopia,1/25/20,0
564,Iran (Islamic Republic of),1/25/20,0
565,Bolivia,1/25/20,0
566,Colombia,1/25/20,0
567,Republic of Moldova,1/25/20,0
568,Japan,1/25/20,2
569,Mongolia,1/25/20,0
570,Zambia,1/25/20,0
571,Taiwan,1/25/20,3
